,Model,LS_mean,GS_mean,IS_mean,LS_max,GS_max,IS_max,region_mean,region_max,GL_mean>160,GL_mean>170,GL_mean>180,GL_mean>190
18,FGOALS-g3,99.05457443626594,67.15047744512466,232.89626914714384,358.71574967352444,218.32333689849878,778.1791024552947,IS_mean,IS_max,False,False,False,False
19,GFDL-CM4,626.4462630208334,161.20767195767195,288.9085391911611,1587.7305555555556,770.7722222222222,1053.1381944444445,LS_mean,LS_max,True,False,False,False
20,GFDL-ESM4,236.13540781866362,162.16889719696087,141.5968325286046,703.6920238494873,672.7746109008789,570.8798759460445,LS_mean,LS_max,True,False,False,False
21,GISS-E2-1-G,489.05817974324236,134.82447331112496,362.55843102971556,1263.7077966743896,542.6689413254775,1287.807441607028,LS_mean,IS_max,False,False,False,False
22,HadGEM3-GC31-LL,114.76260929586365,229.80263186502134,130.95733450596344,566.1431431601693,718.9973187302129,443.78104997233004,GS_mean,GS_max,True,True,True,True
23,HadGEM3-GC31-MM,237.06358512857744,102.55954560575816,149.45221913229378,1126.6602401733398,388.19469451904297,383.4538688659668,LS_mean,LS_max,False,False,False,False
24,INM-CM5-0,90.13892496392496,96.91190586419754,123.29983130904183,333.84444444444443,221.575,411.2527777777778,IS_mean,IS_max,False,False,False,False
25,IPSL-CM6A-LR,64.54839800453185,212.83803946214712,102.80005878589772,205.4502140045166,668.5686477661133,291.0392074584961,GS_mean,GS_max,True,True,True,True
26,MIROC-ES2L,69.9299178895877,497.1607685433423,166.1674230444866,114.56388888888888,1813.5166666666667,548.7041666666667,GS_mean,GS_max,True,True,True,True
27,MIROC6,104.21254709712953,196.15236306373265,110.32699838817973,391.260354735292,554.0061064400376,307.64260515822673,GS_mean,GS_max,True,True,True,True
28,MPI-ESM1-2-HR,174.33723548587997,99.9818038280974,124.29466831303367,671.9991039276123,332.0786247253418,440.9415908813477,LS_mean,LS_max,False,False,False,False
29,MPI-ESM1-2-LR,123.22687142652056,170.1659268352638,138.89757304055308,723.062729764173,333.71306859984986,426.4323581164543,GS_mean,LS_max,True,True,False,False
30,MRI-ESM2-0,214.59263894628302,181.90231509910993,238.99206060779522,661.661111831665,569.2585029602051,576.9707015991211,IS_mean,LS_max,True,True,True,False
31,NESM3,122.82399104969316,49.532233775882275,128.62336871566598,658.5497436523438,281.8438646316528,498.2731460571289,IS_mean,LS_max,False,False,False,False
32,NorESM2-LM,353.226112100482,279.62286337566627,183.43116145286058,863.3188690185547,974.1923324584961,464.27308197021483,LS_mean,GS_max,True,True,True,True
33,NorESM2-MM,322.94844075199927,418.7530841783757,202.89747455316902,829.8398963928223,1150.2273986816406,544.2450592041016,GS_mean,GS_max,True,True,True,True
34,UKESM1-0-LL,117.7488695346708,380.82034419848577,141.27364971555997,633.7194092956453,1692.2593456724899,503.24407691733916,GS_mean,GS_max,True,True,True,True
