,Model,LS_mean,GS_mean,IS_mean,LS_max,GS_max,IS_max,region_mean,region_max,GL_mean>160,GL_mean>170,GL_mean>180,GL_mean>190
0,ACCESS-CM2,54.0694478757622,262.1668690663955,266.7888769887375,204.80730838576005,1138.3639412564182,746.2961973668332,IS_mean,GS_max,True,True,True,True
1,ACCESS-ESM1-5,83.84385043418068,247.53093476410322,244.53571561244507,210.98961038004103,892.8662423713497,709.2535059171718,GS_mean,GS_max,True,True,True,True
2,BCC-CSM2-MR,375.6366083447222,122.10680352001545,378.720214431677,1285.418052807339,406.07182457663214,1129.7821263425321,IS_mean,LS_max,False,False,False,False
3,CAMS-CSM1-0,90.79223539595509,98.05435956316269,270.63373917603246,347.787451171875,309.7530979416087,894.8780698776242,IS_mean,IS_max,False,False,False,False
4,CAS-ESM2-0,112.3214487376954,53.92888175456309,99.88139335957501,256.46448816937647,104.77451021497032,188.39676029615993,LS_mean,LS_max,False,False,False,False
5,CESM2,236.92875635687082,97.51763023643493,184.15529332538526,605.4474166870116,309.50071182250974,457.57529907226564,LS_mean,LS_max,False,False,False,False
6,CESM2-WACCM,225.3345155516207,100.19806421445209,181.75689607248364,573.3050361633301,290.7342922210693,454.7597061157227,LS_mean,LS_max,False,False,False,False
7,CMCC-CM2-SR5,113.55726888275146,172.46762521986574,147.01853910198918,660.2044250488282,673.3370368957519,488.4051147460938,GS_mean,GS_max,True,True,False,False
8,CMCC-ESM2,103.06096714107808,166.62019241100222,153.98855821591837,497.7726593017578,616.5610168457031,497.0970649719238,GS_mean,GS_max,True,False,False,False
9,CNRM-CM6-1,114.11997309494018,299.6578857058928,137.6467950767941,365.5394859313965,1187.3574146270753,361.9422775268555,GS_mean,GS_max,True,True,True,True
10,CNRM-ESM2-1,96.06316523038426,236.0740828326368,131.1379421544958,359.49852619171145,780.7754547119141,348.7714370727539,GS_mean,GS_max,True,True,True,True
11,CanESM5,43.05601531099027,195.9280163600397,101.35427213549033,62.541225822382714,468.8276036591653,380.1591216926439,GS_mean,GS_max,True,True,True,True
12,CanESM5-CanOE,40.952712414182635,188.9704324406768,95.48102220921616,59.0389394395261,425.9342054097289,331.73096808453056,GS_mean,GS_max,True,True,True,False
13,E3SM-1-1,36.212954891316684,99.69228668782618,61.2348770530765,49.221806335449216,330.9263738632202,141.7934194564818,GS_mean,GS_max,False,False,False,False
14,EC-Earth3,62.09859069310702,165.4625584563558,132.87188947033,168.9145767211914,474.6722183227539,478.70716247558596,GS_mean,IS_max,True,False,False,False
15,EC-Earth3-CC,89.60430683986958,240.1092458099205,140.58517204832148,321.5367347717285,906.3536386489868,411.2380096435547,GS_mean,GS_max,True,True,True,True
16,EC-Earth3-Veg,123.6026315527696,271.2688494112861,138.99578741585768,610.7946495056152,1386.8625747680665,428.21234741210935,GS_mean,GS_max,True,True,True,True
17,EC-Earth3-Veg-LR,98.56154780343863,246.17551551678676,144.92623839607947,335.43876495361326,849.162453365326,403.6110336303711,GS_mean,GS_max,True,True,True,True
