model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8648,1.3394,0.7148,-0.2915,8.7169
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.566,1.328,0.2075,-0.4807,6.7553
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.9451,0.659,0.8665,-0.99,5.2882
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9466,1.0011,0.6925,-0.5075,2.5414
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.9075,-1.2203,0.5521,-0.8629,4.4707
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8487,1.3485,-0.1488,-3.9808,8.6195
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7807,0.7186,0.5741,-0.3122,12.0887
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9342,1.1315,0.9472,0.5566,3.6637
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9018,2.1282,0.904,-0.215,6.5889
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.7982,-0.7871,0.7033,-0.6942,5.4612
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4628,-0.4217,0.2451,-0.5964,5.4074
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.831,1.4181,0.3056,-1.2438,4.5658
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9449,1.7258,0.2911,-3.2246,8.3426
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8967,0.8972,0.7266,-1.3961,8.6974
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8324,1.4883,0.3791,-1.0052,5.5439
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.975,-0.2008,0.2405,-1.8562,4.2308
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8932,0.3018,0.5292,-0.5847,5.2565
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8288,0.4434,0.4547,-0.4658,5.815
