model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8331,-1.2,4.3049,0.1575,5.55
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.3126,-0.9152,-1.6836,-1.3331,1.8411
CMCC-CM,['rcp45' 'rcp85'],0.9305,-1.4653,6.836,0.0549,6.4749
CMCC-CMS,['rcp45' 'rcp85'],0.8907,-0.3719,2.8177,-0.6667,2.8082
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.8276,2.6713,4.3086,-0.3123,4.3705
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.677,0.0034,4.0011,0.5606,4.3219
CanESM2,['rcp26' 'rcp85'],0.6477,-0.273,0.4429,0.088,0.1538
EC-EARTH,['rcp45'],0.8956,-0.0035,3.3016,-0.7656,2.0584
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.6943,-1.5464,6.2672,0.8447,4.5329
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.538,-0.4939,3.2094,0.1064,4.5571
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0035,-1.6002,-0.0687,-0.0818,4.9869
HadGEM2-CC,['rcp45' 'rcp85'],0.9186,0.8608,4.6893,0.0295,4.2835
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.8753,-1.2718,3.9395,-0.741,5.9048
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.87,0.1513,3.7289,-2.2552,8.5474
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8945,0.4949,2.1597,-2.4018,6.0089
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.4136,0.1159,0.8864,-0.9624,1.6429
MIROC5,['rcp45' 'rcp85'],0.9375,-1.4198,7.9643,0.0515,4.8185
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8108,2.2928,3.8637,-0.1339,4.6665
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.89,0.9318,4.2937,-0.3249,3.357
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.783,-0.3021,4.8126,-0.6016,6.6401
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0046,1.0389,-0.0112,-0.0353,1.654
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0482,1.0484,-0.8187,-0.3236,1.6733
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.8518,1.4036,4.4394,-0.1236,4.3071
bcc-csm1-1-m,['rcp26' 'rcp45'],0.4085,1.1087,2.1114,0.1188,3.4533
