model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8335,-1.2316,4.3749,0.2409,5.5371
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.1548,-0.9859,-0.9487,-0.9431,2.2636
CMCC-CM,['rcp45' 'rcp85'],0.9321,-1.3217,6.1182,-0.891,6.3227
CMCC-CMS,['rcp45' 'rcp85'],0.9012,-0.2042,2.6742,-0.8729,2.5367
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.8282,2.6668,4.3047,-0.3891,4.3556
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.713,-0.1202,4.6648,1.2667,3.8401
CanESM2,['rcp26' 'rcp85'],0.6473,-0.2711,0.4293,0.098,0.154
EC-EARTH,['rcp45'],0.9063,-0.0075,2.9208,-1.0314,1.8479
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.6917,-1.4782,6.391,0.9032,4.5715
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.5371,-0.5183,2.7406,-0.0474,4.566
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0236,-1.4547,-0.4952,-0.3424,4.8866
HadGEM2-CC,['rcp45' 'rcp85'],0.9187,0.8144,4.7247,0.0661,4.28
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.8805,-1.0132,3.8286,-0.9516,5.6561
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8638,-0.2425,5.8362,-7.2292,8.9565
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8539,1.4693,5.3422,1.0569,8.3242
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.4054,0.0582,0.9517,-1.9391,1.666
MIROC5,['rcp45' 'rcp85'],0.9374,-1.4358,7.8533,0.0326,4.8228
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8111,2.2854,3.7848,-0.2356,4.658
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.8899,0.9661,4.3564,-0.3453,3.3595
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.7816,-0.2298,5.0282,-0.4892,6.6809
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0145,0.9642,0.6369,0.2049,1.6375
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0151,1.0369,0.4484,0.114,1.7316
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.8524,1.3616,4.2027,-0.2672,4.2878
bcc-csm1-1-m,['rcp26' 'rcp45'],0.4089,1.0945,2.1683,0.1519,3.451
