model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8634,1.3734,0.8074,8.8088
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.5516,1.0877,0.3248,6.9791
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.9303,1.3383,1.1718,6.7235
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9384,0.3731,0.8719,2.9304
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8802,-2.5071,0.8495,5.7888
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7596,-0.6277,0.6144,13.6971
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7804,0.5642,0.6311,12.1055
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9261,1.565,0.8658,4.1171
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9012,1.921,0.9504,6.6267
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.855,-0.1548,1.0358,15.1291
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.7912,-1.0315,0.9279,5.6522
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4466,-0.2872,0.4005,5.5706
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8044,0.7221,0.5478,5.284
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.8991,2.7503,1.4476,15.295
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8739,1.9668,1.1376,10.6223
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8189,1.6837,0.6493,5.9922
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9242,0.7711,1.3668,12.8455
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8679,0.9032,0.9545,6.5036
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8154,0.8583,0.7567,6.271
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.8698,1.0637,1.0913,17.0436
