model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8161,-0.3743,0.5654,0.046,6.1159
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.352,-0.9766,-0.2219,-1.3628,1.7355
CMCC-CM,['rcp45' 'rcp85'],0.9686,0.1852,1.2294,-0.659,2.9272
CMCC-CMS,['rcp45' 'rcp85'],0.8952,0.1737,0.5045,-0.5832,2.6917
CNRM-CM5,['rcp26' 'rcp45'],0.7846,2.5752,0.7617,-0.199,4.6355
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.7395,0.0351,0.6246,1.1416,3.4857
CanESM2,['rcp26' 'rcp85'],0.6067,-0.2085,0.0529,-0.0295,0.1717
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.1605,-0.6872,-0.2115,-1.0934,4.2015
HadGEM2-CC,['rcp45' 'rcp85'],0.9284,0.8434,1.1194,1.0113,3.7695
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.8774,-1.4501,0.9029,-0.0674,5.8041
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9123,-0.3759,0.9975,-4.6815,5.7673
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8878,0.7534,0.8418,-0.6277,6.3925
MIROC5,['rcp45' 'rcp85'],0.9716,-0.2417,1.0667,0.0552,2.1882
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8051,2.5996,0.4805,-0.1514,4.805
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.8367,1.5979,0.4062,-1.0573,4.9841
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.7582,-0.0075,0.6517,-1.5022,7.397
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.1356,1.2711,-0.1831,-0.5671,1.4363
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.1533,1.1589,-0.2147,-0.697,1.4887
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.8117,1.5043,0.3672,-1.236,5.471
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.5703,1.1832,0.2392,-0.327,3.7871
