model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.816,-0.3702,0.5538,6.1178
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.0212,-0.2968,0.0276,2.6213
CMCC-CESM,['rcp85'],0.733,-0.8046,0.2591,1.484
CMCC-CM,['rcp45' 'rcp85'],0.9675,0.2371,1.3242,3.0273
CMCC-CMS,['rcp45' 'rcp85'],0.8883,-0.2366,0.586,2.8673
CNRM-CM5,['rcp26' 'rcp45'],0.7825,2.543,0.7923,4.6793
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.6811,-0.0831,0.3731,4.2683
CanESM2,['rcp26' 'rcp45' 'rcp85'],0.5533,-0.1758,0.0538,0.1737
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0059,-1.2776,-0.0202,4.9749
GISS-E2-R-CC,['rcp45' 'rcp85'],0.0349,-0.7566,0.0406,3.9093
HadGEM2-CC,['rcp45' 'rcp85'],0.9142,2.0029,0.8872,4.5129
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.8773,-1.5417,0.9171,5.8072
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9073,-0.5853,0.9708,6.0959
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8877,0.808,0.8416,6.3981
MIROC-ESM,['rcp26' 'rcp45' 'rcp85'],0.8959,-0.3491,0.5896,3.6285
MIROC-ESM-CHEM,['rcp26' 'rcp45' 'rcp85'],0.8917,0.9511,0.6512,5.0415
MIROC5,['rcp26' 'rcp45' 'rcp85'],0.9365,-0.336,1.003,3.9616
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8048,2.6269,0.508,4.8129
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.8259,1.4891,0.6112,5.3124
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.7425,0.136,0.818,7.8773
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0065,1.2562,-0.0126,1.6509
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0001,1.2634,-0.0015,1.758
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.7868,2.0994,0.6435,6.1956
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.562,1.0794,0.2929,3.8603
inmcm4,['rcp45' 'rcp85'],0.8707,0.0415,0.6372,3.8978
