model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.6965,0.5171,-1.8793,10.094
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.1323,-0.8924,-0.3449,2.3239
CMCC-CM,['rcp45' 'rcp85'],0.8202,1.0435,-7.6795,16.7435
CMCC-CMS,['rcp45' 'rcp85'],0.7077,3.0916,-3.1661,7.5054
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.1136,7.7196,-1.4111,22.4658
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.4363,0.677,-1.2427,7.544
CanESM2,['rcp26' 'rcp85'],0.5113,-0.1489,-0.3959,0.2133
EC-EARTH,['rcp45' 'rcp85'],0.8847,0.2266,-2.8696,3.5829
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.2677,-3.2818,-0.697,10.8594
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.4579,-0.157,-0.8834,5.3473
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0141,-1.7265,-0.1571,4.9339
HadGEM2-CC,['rcp45' 'rcp85'],0.6605,6.8055,-2.9668,17.8695
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.6766,4.5522,-3.3454,15.3121
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.0696,7.8884,16.3878,61.1741
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.0,10.446,0.3788,56.9715
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.0157,1.3846,3.071,2.7577
MIROC5,['rcp45' 'rcp85'],0.8227,-1.6554,-2.5231,13.6602
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.7199,2.8496,-2.4814,6.9078
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.7988,2.2513,-2.935,6.1397
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.5986,1.0761,-5.3971,12.2793
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0013,1.0791,-0.0178,1.6594
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0106,1.0869,-0.0526,1.7394
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.7741,1.3668,-2.6378,6.5633
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.4561,2.3101,-1.3386,4.794
