model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8118,0.1034,4.9223,12.1355
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.6858,0.2865,2.5884,4.89
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.4014,-0.7525,1.2361,2.6261
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.0489,1.3246,1.0499,13.4042
CESM2,['ssp126' 'ssp245' 'ssp585'],0.6861,-2.7008,4.8285,21.5092
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8227,-0.6808,4.6071,9.5127
CIESM,['ssp126' 'ssp245' 'ssp585'],0.7042,3.4489,8.3538,67.3557
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9434,0.6017,6.3618,6.0383
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8271,-0.3487,4.3939,8.2283
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.7304,-1.9879,4.5698,13.0267
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7618,-1.3092,3.6232,13.5726
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7545,-0.1415,3.556,13.5322
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.8746,2.8292,4.9895,6.9876
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.8941,1.4163,5.6838,7.1021
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0397,-0.697,-0.4909,5.2133
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.2397,-3.1742,1.3024,4.6809
GISS-E2-1-G,['ssp126' 'ssp245' 'ssp585'],0.3558,-0.275,-1.5692,5.3148
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.8264,-1.7986,5.5321,18.1133
HadGEM3-GC31-MM,['ssp126' 'ssp585'],0.8996,-0.3171,3.6069,4.4886
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8097,-1.3917,4.9501,5.151
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5719,-0.7846,2.6618,4.3092
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.7665,1.0866,3.0212,6.3066
MIROC-ES2L,['ssp126' 'ssp245' 'ssp585'],0.7784,1.0452,5.6885,9.8986
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.8276,3.0824,11.7998,26.1312
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8109,2.1343,8.6499,15.928
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.7907,1.7215,5.2159,6.924
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.8434,-1.0735,10.429,26.5248
NESM3,['ssp126' 'ssp245' 'ssp585'],0.5245,-0.2761,1.7787,4.9151
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9341,-0.6875,7.182,3.2419
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.931,-0.4859,5.7193,2.3439
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.8285,-0.317,5.8404,22.4522
