model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8634,1.3787,-0.0149,0.8097,8.8088
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.7287,0.04,4.9239,-0.3391,4.2219
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9503,0.7217,1.8713,0.8153,5.302
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9468,0.9122,-1.6602,1.17,2.5324
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.9168,-2.1276,-3.8822,1.4836,4.0207
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7706,-1.0919,1.9355,0.2941,13.0726
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7821,0.3526,0.7246,0.5082,12.0113
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9261,1.5595,-0.0364,0.8717,4.1169
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9101,1.5734,2.4681,0.5504,6.0269
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.8581,-0.6765,1.3584,0.7938,14.8004
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8134,-1.3557,3.5396,0.275,5.0499
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.6425,-0.8723,6.3681,-0.6509,3.5987
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8045,0.726,0.1731,0.5179,5.2804
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.8991,2.7726,-0.3409,1.4862,15.2871
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8739,1.9716,-0.0655,1.1456,10.6221
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.824,1.5839,1.5104,0.4718,5.8234
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9252,0.4333,1.1106,1.2355,12.67
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.942,-0.4881,5.5144,0.2472,2.8565
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.9313,-0.5186,6.0264,-0.0461,2.3324
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.8709,0.7783,0.8315,0.9447,16.9006
