model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8644,1.3446,0.7309,-0.2796,8.7416
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.5726,1.3167,0.1799,-0.7193,6.6523
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.9486,0.4028,0.8233,-1.3174,4.9581
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9475,1.0537,0.6854,-0.544,2.4963
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.9026,-1.3484,0.5888,-0.8098,4.7071
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8249,1.3581,-0.0484,-3.9474,9.9762
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7805,0.67,0.5968,-0.1978,12.0996
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9345,1.0528,0.9699,0.6909,3.6489
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9063,2.396,0.7969,-0.749,6.288
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8145,-0.7526,0.4715,-1.3311,5.0217
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4731,-0.2439,0.1932,-0.8493,5.3037
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8288,1.3141,0.2899,-1.3984,4.6249
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9202,3.2487,0.6454,-3.217,12.0875
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.9117,0.7255,0.5704,-2.203,7.4368
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8296,1.464,0.4362,-1.155,5.6391
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9814,-0.1162,0.4636,-2.3242,3.1587
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8885,0.4159,0.5704,-0.6302,5.4852
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.831,0.3704,0.4371,-0.5571,5.742
