model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8296,0.5376,3.0395,-0.953,10.9895
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.6865,0.2203,2.746,0.0926,4.8798
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.417,-0.6737,1.8876,0.2686,2.5577
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.1626,1.6251,-0.6769,-1.3601,11.8025
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.9003,-0.432,1.4741,-1.0162,5.3491
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9503,0.3251,5.1753,-0.7043,5.3002
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9159,1.3975,2.2777,-1.2285,4.0032
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.875,-0.1459,1.8459,-1.4924,6.0373
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8457,0.9358,-0.1021,-3.3426,8.7956
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7792,0.9026,1.8971,-1.6614,12.1708
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.8763,2.9316,4.8128,-0.2301,6.8931
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9068,2.2401,4.6336,-0.8591,6.2494
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0839,-0.7651,0.2622,0.188,4.9733
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.2878,-3.0363,2.6969,0.4527,4.385
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8116,-1.215,4.3007,-0.378,5.0995
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5745,-0.7521,3.0243,0.2371,4.2833
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8272,1.7163,1.3625,-1.5669,4.6681
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9428,1.7288,-0.9596,-4.2625,8.6621
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8707,0.5648,3.9386,-2.0678,10.8866
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8185,1.4914,2.0375,-1.4458,6.0044
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9745,-0.5411,1.1305,-2.0177,4.3195
NESM3,['ssp126' 'ssp245' 'ssp585'],0.6488,0.1019,0.7906,-1.3091,3.6297
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9508,-0.7809,5.191,-0.391,2.4237
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.9319,-0.465,6.2142,0.1094,2.312
