model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.816,-0.3702,0.549,-0.015,6.1174
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.4367,-0.8049,-0.1911,-1.1447,1.5086
CMCC-CM,['rcp45' 'rcp85'],0.9675,0.2378,1.3226,-0.0143,3.0272
CMCC-CMS,['rcp45' 'rcp85'],0.8917,0.0749,0.5214,-0.4609,2.7807
CNRM-CM5,['rcp26' 'rcp45'],0.7839,2.5712,0.7668,-0.1372,4.6495
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.7308,0.1825,0.6526,0.8172,3.6026
CanESM2,['rcp26' 'rcp85'],0.6064,-0.2075,0.0537,-0.0171,0.1718
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.1229,-0.7905,-0.2398,-0.9455,4.3896
HadGEM2-CC,['rcp45' 'rcp85'],0.9237,1.166,1.0796,0.7158,4.0138
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.8775,-1.6946,0.9432,0.1097,5.7973
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9144,-0.2599,0.7862,-1.3576,5.6286
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.9073,0.3572,0.4746,-1.7781,5.2803
MIROC5,['rcp45' 'rcp85'],0.9717,-0.2209,1.076,0.0569,2.184
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8073,2.5493,0.4411,-0.2765,4.751
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.846,1.4304,0.3496,-1.1505,4.699
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.7607,-0.1726,0.6143,-1.4081,7.3198
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.1408,1.2686,-0.1494,-0.4451,1.4276
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.2217,1.0158,-0.2042,-0.5768,1.3684
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.8098,1.5571,0.4231,-1.0576,5.5278
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.5734,1.1999,0.2401,-0.3327,3.7601
