model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.7893,1.8738,-2.2911,13.5874
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.5284,2.0407,-1.1899,7.3398
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.3021,-0.5428,-0.4141,3.0618
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.1532,1.2368,-1.0733,11.9349
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.886,0.1131,-1.4133,6.1146
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.8481,0.8778,-3.2635,14.6407
CMCC-ESM2,['ssp126' 'ssp245' 'ssp585'],0.7711,0.1711,-2.9584,25.4603
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8456,4.017,-2.1324,7.3493
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8324,1.7322,-2.1417,8.0982
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8456,0.8577,-3.2597,8.7988
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7511,2.5181,-3.3131,13.7186
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.3822,8.6556,-2.6917,34.4169
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.7321,7.2353,-3.5353,17.9684
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0803,-0.6365,0.1436,4.9931
GFDL-CM4,['ssp585'],0.9063,-0.2619,-0.9851,1.2428
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.1348,-2.8282,-0.2925,5.3269
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.7382,0.4627,-2.5807,7.0861
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4303,-0.2834,-1.3544,5.7345
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.7948,2.6464,-2.5863,5.5439
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9423,1.6993,-3.976,8.7504
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8372,0.5096,-3.4519,13.7078
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8081,1.5864,-2.2926,6.3497
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9729,-0.214,-2.2229,4.594
NESM3,['ssp126' 'ssp245' 'ssp585'],0.6038,0.852,-1.9014,4.0951
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.859,0.101,-1.2188,6.9395
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8013,0.1858,-1.1013,6.7514
