model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8275,0.4974,3.2041,-1.0103,11.1231
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.686,0.2583,2.6674,0.056,4.8876
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.41,-0.6402,1.7666,0.2265,2.5883
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.1867,1.6724,-0.909,-1.6459,11.462
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8717,-0.7264,2.5617,-0.9332,6.8845
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9528,0.1388,4.9589,-0.9758,5.0352
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9173,1.459,2.2806,-1.2651,3.9347
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8625,-0.1744,1.9868,-1.5091,6.6409
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8253,0.8864,0.3563,-3.3475,9.9556
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7761,1.011,1.9253,-1.7103,12.3405
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.876,2.9404,4.7836,-0.2515,6.9096
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9127,2.238,4.2255,-1.2334,5.857
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.1117,-0.7693,0.4116,0.3214,4.8227
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.2834,-2.9728,1.2087,1.1883,4.4118
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.826,-1.0556,2.9912,-1.0868,4.7094
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5725,-0.8018,2.844,0.1271,4.3032
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8247,1.5848,1.2382,-1.771,4.7346
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.909,3.7836,1.4875,-4.9837,13.7877
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.898,0.4472,2.9587,-2.8871,8.5914
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8159,1.4174,2.7186,-1.6683,6.0918
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9764,-0.7134,2.2756,-2.7574,3.9996
NESM3,['ssp126' 'ssp245' 'ssp585'],0.6546,0.2815,0.8483,-1.4248,3.5704
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9508,-0.7561,5.2781,-0.4502,2.4232
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.9321,-0.4537,6.2681,0.1366,2.3065
