model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.7804,1.9372,-2.6362,14.1614
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.5455,1.8539,-1.4686,7.0748
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.3243,-0.7113,-0.449,2.9641
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.1703,1.1607,-1.2238,11.6932
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8127,0.2956,-1.8309,10.0508
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.865,0.2079,-3.863,13.0156
CMCC-ESM2,['ssp126' 'ssp245' 'ssp585'],0.7841,-0.4939,-3.4689,24.0151
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8459,4.1382,-2.1929,7.3327
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8126,1.8869,-2.25,9.0528
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8246,1.1808,-3.6787,9.9947
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7496,2.7463,-3.4875,13.8024
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.4865,7.9422,-3.2634,28.6025
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.7942,5.8545,-3.9503,13.804
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.1019,-0.5559,0.226,4.8756
GFDL-CM4,['ssp585'],0.7606,-0.3067,-1.2969,3.1739
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.0826,-1.6268,1.6113,5.6479
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.7923,-0.1733,-2.557,5.6215
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4542,0.0166,-1.4972,5.4935
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8017,2.2758,-2.7808,5.3571
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9075,4.0735,-5.6205,14.0152
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8791,0.4906,-4.0896,10.18
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.7897,1.5586,-3.2632,6.9579
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9682,0.0557,-3.3691,5.3944
NESM3,['ssp126' 'ssp245' 'ssp585'],0.5979,1.2282,-2.1062,4.1567
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8488,0.2724,-1.4461,7.4429
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8047,0.0738,-1.2455,6.6361
