model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.5032,0.6244,-1.365,21.1476
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.0232,-0.6926,-0.2122,7.2858
CMCC-CM,['rcp45' 'rcp85'],0.4636,4.613,-5.5819,51.2879
CMCC-CMS,['rcp45' 'rcp85'],0.4595,3.4096,-2.509,15.9196
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.0877,7.7531,-1.0855,27.1998
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.2937,0.6905,-0.7671,12.8905
CanESM2,['rcp26' 'rcp85'],0.1547,-0.0311,-0.2325,0.8115
EC-EARTH,['rcp45' 'rcp85'],0.652,1.1337,-2.4321,12.0222
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.1958,-2.8985,-0.6267,15.0934
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.2706,0.2454,-0.6574,9.8244
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0006,-1.4835,0.0317,9.2286
HadGEM2-CC,['rcp45' 'rcp85'],0.5197,6.5689,-2.2421,28.0719
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.4711,4.1875,-2.4453,28.7118
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.5867,4.0352,-4.5922,28.5841
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.6915,1.7978,-3.2777,19.0093
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.0083,1.4216,-0.3995,5.2756
MIROC5,['rcp45' 'rcp85'],0.7674,-1.3249,-1.7219,18.5913
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.4726,3.8402,-1.4716,14.944
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.5189,3.1389,-2.0384,18.1336
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.342,2.2557,-3.1201,26.6392
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0002,1.0998,-0.0112,4.8514
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0057,1.0055,-0.0512,4.4672
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.4112,2.4788,-2.1986,24.1247
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.0889,3.0731,-0.6993,15.9274
