model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.7221,1.4381,0.8542,0.1578,21.2528
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.3285,1.3028,0.2397,-0.32,17.1838
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.883,1.0233,0.986,-0.6021,11.9755
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8747,0.7439,0.7472,-0.3467,6.4048
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8376,-1.4518,0.5999,-0.6938,8.3112
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7385,0.1689,0.3584,-1.3257,15.7878
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7165,0.5221,0.6401,0.074,16.7685
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.8478,1.2929,0.9359,0.4772,9.3364
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.8281,1.9828,0.9175,-0.1469,12.5194
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.6879,-1.0973,0.8875,-0.1296,9.7598
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.329,-0.4059,0.3974,-0.0393,9.5171
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.666,0.7221,0.4657,-0.4205,11.0215
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9007,2.2391,0.8383,-1.6579,15.1889
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8263,1.5573,0.9737,-0.5856,15.8646
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.7145,1.7808,0.6456,-0.0268,10.9345
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9384,-0.0222,0.5544,-1.3269,10.5429
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8222,0.4368,0.6056,-0.4807,9.4581
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.7364,0.5256,0.4948,-0.4012,10.0177
