model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.6525,-0.3912,0.5602,14.7931
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.002,-0.2716,0.0142,7.444
CMCC-CESM,['rcp85'],0.5049,-0.8111,0.2486,3.6826
CMCC-CM,['rcp45' 'rcp85'],0.9396,0.086,1.3221,5.7754
CMCC-CMS,['rcp45' 'rcp85'],0.7902,-0.2833,0.5922,6.1783
CNRM-CM5,['rcp26' 'rcp45'],0.6298,2.5216,0.789,9.842
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.5061,-0.0657,0.3754,9.0139
CanESM2,['rcp26' 'rcp45' 'rcp85'],0.2243,-0.1574,0.0522,0.7007
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0027,-1.3418,-0.0186,9.209
GISS-E2-R-CC,['rcp45' 'rcp85'],0.0147,-0.927,0.039,8.7545
HadGEM2-CC,['rcp45' 'rcp85'],0.8153,1.9274,0.883,10.7969
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.767,-1.6231,0.9182,12.6494
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8702,-0.6036,0.9752,8.9746
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8265,0.7539,0.8445,10.69
MIROC-ESM,['rcp26' 'rcp45' 'rcp85'],0.8181,-0.5257,0.5865,6.8695
MIROC-ESM-CHEM,['rcp26' 'rcp45' 'rcp85'],0.8246,0.9762,0.6519,8.8476
MIROC5,['rcp26' 'rcp45' 'rcp85'],0.873,-0.3052,0.9942,8.3648
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.6716,2.6031,0.4975,9.307
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.6886,1.3846,0.62,11.738
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.583,0.1736,0.8334,16.8808
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0016,1.2408,-0.0108,4.8444
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0,1.2035,-0.0004,4.4927
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.5342,1.9556,0.6292,19.0857
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.2428,1.0474,0.2709,13.2359
inmcm4,['rcp45' 'rcp85'],0.7227,-0.02,0.6327,9.9306
