model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.6793,0.2631,4.4964,-0.2315,24.5331
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.3933,0.5001,2.3062,-0.136,15.5245
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.1795,-0.5732,1.6464,0.1508,9.0312
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.0583,1.6396,-0.308,-1.0126,29.4473
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.7997,-0.6263,2.7238,-0.8309,11.3893
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.8971,0.5506,5.574,-0.5298,11.5963
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8357,1.1657,2.5582,-1.0855,8.3995
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.7866,-0.3257,2.226,-1.3251,10.9222
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7298,-0.4579,2.4778,-1.1452,16.3132
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.6926,0.3219,2.9248,-0.6263,18.1821
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.7875,3.0919,4.8175,-0.1411,13.0396
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.8274,1.7155,4.9982,-0.5393,12.5736
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0415,-0.7247,0.195,0.2097,9.0834
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.1582,-2.9898,1.2912,0.272,8.398
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.7018,-1.4149,4.6015,-0.1765,9.3259
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4123,-0.8728,2.8918,0.1629,8.3346
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.6341,1.0848,2.4,-0.5911,12.0738
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.8386,3.5084,6.5125,-2.4673,24.6868
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.7968,1.5471,5.7673,-1.4622,18.553
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.6877,1.8285,4.6887,-0.3356,11.9608
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9319,-0.8704,3.6887,-2.2785,11.6468
NESM3,['ssp126' 'ssp245' 'ssp585'],0.4115,-0.2071,1.5083,-0.4638,8.5228
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8709,-0.6498,5.3586,-0.4111,6.8661
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.817,-0.393,5.6524,0.0081,6.9521
