model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.6637,-1.2372,4.6033,0.2814,14.317
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.0249,-0.7283,0.2432,-0.0848,7.2737
CMCC-CM,['rcp45' 'rcp85'],0.8997,-1.5945,6.8898,0.2095,9.5949
CMCC-CMS,['rcp45' 'rcp85'],0.7811,-0.9163,3.3169,-0.052,6.4471
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.726,2.0403,2.8532,-1.0691,8.1686
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.5127,0.1168,4.2082,0.6583,8.8948
CanESM2,['rcp26' 'rcp85'],0.2882,-0.2449,0.5045,0.1654,0.6833
EC-EARTH,['rcp45'],0.7573,0.1226,4.0689,-0.2622,5.5774
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.531,-1.873,5.5593,0.6284,8.8027
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.3875,-0.3755,3.2772,0.1453,8.2506
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0061,-1.7345,0.4717,0.1561,9.1772
HadGEM2-CC,['rcp45' 'rcp85'],0.8121,0.7963,4.6525,0.0425,10.9837
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.7546,-1.8772,4.3369,-0.374,13.322
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8175,-0.2418,4.8973,-0.7887,12.6214
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8029,1.0603,4.186,-0.8637,12.1448
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.2443,0.1117,0.9748,-0.1854,4.0205
MIROC5,['rcp45' 'rcp85'],0.8747,-1.4634,6.9367,-0.1583,10.0137
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.6843,2.3267,4.3056,0.1481,8.9445
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.7311,0.8825,5.0505,0.1144,10.1362
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.6186,-0.2028,5.3841,-0.1153,15.4411
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.006,0.9689,0.4557,0.13,4.823
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0061,0.9898,0.1277,-0.0131,4.4654
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.579,1.3639,4.7396,0.1563,17.2493
bcc-csm1-1-m,['rcp26' 'rcp45'],0.1761,0.9182,2.2541,0.3063,11.5641
