model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.538,3.052,-2.2127,35.3376
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.2911,2.1835,-1.2772,18.1386
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.1303,-0.4741,-0.4325,9.573
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.0572,1.431,-0.9037,29.4821
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.729,0.5916,-1.7528,15.4123
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.7264,1.6343,-3.4832,28.0119
CMCC-ESM2,['ssp126' 'ssp245' 'ssp585'],0.6717,0.8834,-3.195,38.57
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.7405,4.2912,-2.0705,13.2685
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.7222,2.049,-2.1096,14.2216
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.6625,2.0461,-3.1732,20.3792
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.5746,3.6139,-2.9781,25.1647
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.3425,8.7146,-2.5566,40.34
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.6042,6.6257,-3.302,28.8293
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0398,-0.5962,0.1717,9.0994
GFDL-CM4,['ssp585'],0.5225,0.0978,-1.1327,7.7103
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.0106,-1.5796,0.2921,9.8709
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.5422,0.5714,-2.0673,14.3174
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.2288,0.5743,-1.095,10.9375
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.5036,2.953,-2.1979,16.3809
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.7813,5.4476,-4.9699,33.4522
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.6934,2.8316,-3.4931,27.993
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.4868,3.5917,-2.4061,19.6549
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9067,0.546,-3.2423,15.9576
NESM3,['ssp126' 'ssp245' 'ssp585'],0.2394,1.7559,-1.3221,11.0163
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.7613,0.4546,-1.4087,12.7
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.6937,0.3004,-1.2118,11.6398
