model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.5659,2.6178,-2.0038,33.1994
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.2806,2.2775,-1.0446,18.4074
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.0995,-0.1361,-0.3598,9.9125
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.0537,1.4879,-0.8168,29.5904
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8011,0.3135,-1.3708,11.309
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.7369,1.7173,-3.053,26.9391
CMCC-ESM2,['ssp126' 'ssp245' 'ssp585'],0.6833,0.9854,-2.8076,37.1981
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.7287,4.1797,-1.9751,13.8692
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.7348,1.8681,-1.9888,13.5736
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.6951,1.826,-2.8641,18.4104
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.6083,3.1691,-2.9227,23.1697
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.2876,9.0965,-2.2715,43.7073
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.5994,7.6432,-3.1327,29.1768
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0415,-0.5367,0.1304,9.0834
GFDL-CM4,['ssp585'],0.6454,-0.0135,-0.8879,5.7259
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.0627,-2.5129,-0.2445,9.351
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.5027,1.3163,-2.0743,15.5526
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.1995,0.5009,-0.9126,11.353
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.5283,2.9929,-2.101,15.5644
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.8615,2.6445,-3.6744,21.1873
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.6594,2.4894,-2.9504,31.1031
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.5628,2.9508,-1.9201,16.7452
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9245,0.0592,-2.1558,12.9205
NESM3,['ssp126' 'ssp245' 'ssp585'],0.2617,1.5388,-1.2647,10.693
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.7774,0.2562,-1.1976,11.843
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.7023,0.2846,-1.0827,11.3132
