model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.6598,-1.1274,3.9581,14.4807
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.0243,-0.7096,0.3787,7.2782
CMCC-CM,['rcp45' 'rcp85'],0.8994,-1.5446,6.7568,9.624
CMCC-CMS,['rcp45' 'rcp85'],0.781,-0.9618,3.3575,6.4496
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.6837,2.8051,4.3653,9.4306
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.4743,-0.0624,2.6098,9.5956
CanESM2,['rcp26' 'rcp45' 'rcp85'],0.2297,-0.2238,0.336,0.6958
EC-EARTH,['rcp45'],0.7545,0.1381,4.491,5.6413
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.4721,-3.1926,3.6085,9.908
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.3845,-0.4063,2.8173,8.2905
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0007,-1.6651,0.1072,9.2271
HadGEM2-CC,['rcp45' 'rcp85'],0.812,0.8569,4.5964,10.9875
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.7496,-2.413,4.7629,13.5949
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8112,-0.4555,5.5427,13.0576
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.7919,1.3755,5.3407,12.8223
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.2425,0.1191,0.9833,4.0299
MIROC-ESM,['rcp26' 'rcp45' 'rcp85'],0.7517,-0.9689,3.9243,9.3762
MIROC-ESM-CHEM,['rcp26' 'rcp45' 'rcp85'],0.8345,0.4416,4.6145,8.3498
MIROC5,['rcp26' 'rcp45' 'rcp85'],0.8261,-1.3709,7.567,11.4511
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.6831,2.3024,4.0182,8.9811
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.7307,0.8949,4.8542,10.1527
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.6184,-0.1942,5.4944,15.45
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0019,1.0118,0.1003,4.8434
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.006,0.9906,0.1665,4.4656
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.5785,1.3111,4.5077,17.2716
bcc-csm1-1-m,['rcp26' 'rcp45'],0.166,0.9946,1.9453,11.7067
inmcm4,['rcp45' 'rcp85'],0.7166,-0.0575,5.6619,10.148
