model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8791,-0.534,0.5846,0.0476,3.9863
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.4706,-1.075,-0.2314,-1.4256,1.0912
CMCC-CM,['rcp45' 'rcp85'],0.9766,0.1702,1.212,-0.7562,2.1475
CMCC-CMS,['rcp45' 'rcp85'],0.9252,0.1519,0.4937,-0.607,1.8104
CNRM-CM5,['rcp26' 'rcp45'],0.923,1.0652,0.1535,-2.9184,1.5714
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.847,0.0174,0.6154,1.0806,1.7943
CanESM2,['rcp26' 'rcp85'],0.7653,-0.2177,0.0479,-0.0559,0.0759
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.2729,-0.5911,-0.2376,-1.3031,2.3771
HadGEM2-CC,['rcp45' 'rcp85'],0.9532,0.7613,1.1108,0.9634,2.4062
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.9157,-1.1322,0.8533,-0.2814,3.7812
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9341,-0.1826,1.0275,-10.9466,4.2368
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.9115,0.7454,0.8405,1.0819,4.8996
MIROC5,['rcp45' 'rcp85'],0.9844,-0.2576,1.0543,0.0028,1.1995
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8465,2.4372,0.4276,-0.4466,3.6094
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9188,1.2768,0.2314,-1.9928,2.3666
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.8428,0.0154,0.5445,-2.3791,4.271
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.227,1.2003,-0.1978,-0.604,0.7507
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.2345,1.1416,-0.2502,-0.8211,1.0359
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.9069,1.3683,0.2209,-1.9549,2.5688
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.7266,1.1795,0.2013,-0.5927,1.9645
