model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.914,1.2485,0.5432,-0.9785,5.31
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.6777,1.5746,0.1138,-1.074,4.4461
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.9638,0.2174,0.7753,-1.4801,3.422
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9676,1.1126,0.6677,-0.5887,1.4982
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.9266,-1.2452,0.5598,-0.882,3.4099
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8485,1.7507,-0.1662,-4.645,8.3633
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.8043,0.7682,0.5144,-0.6411,10.249
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9648,0.8771,0.9719,0.6894,1.9106
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9242,2.5353,0.7713,-0.8304,4.8912
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8834,-0.5245,0.1199,-2.325,2.9831
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5497,-0.3215,0.1026,-1.2225,3.9854
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8667,1.4252,0.2343,-1.6633,3.3969
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9332,3.3912,0.414,-4.1258,9.9498
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.9534,0.5124,0.3523,-3.0508,3.813
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8674,1.2126,0.1704,-2.6024,4.2721
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9888,-0.1557,0.4536,-2.3532,1.861
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9043,0.3939,0.5738,-0.6363,4.6684
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8703,0.3443,0.4432,-0.5571,4.2577
