model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.9184,1.121,0.4774,-1.0458,5.0421
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.6636,1.6105,0.1724,-0.6527,4.6411
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.9613,0.4949,0.8118,-1.1547,3.6577
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9674,1.1216,0.6627,-0.5817,1.5037
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.9314,-1.1205,0.5208,-0.9334,3.1866
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8766,1.8406,-0.2967,-4.7497,6.8144
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.8059,0.899,0.4495,-0.9628,10.1671
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9638,0.9982,0.9452,0.5279,1.9625
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9194,2.2395,0.8933,-0.222,5.1968
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.863,-0.395,0.4037,-1.6218,3.5026
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5276,-0.5165,0.2149,-0.7149,4.1811
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8705,1.505,0.2461,-1.5071,3.3002
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9609,1.3814,0.0326,-3.9258,5.8264
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.9369,0.4735,0.5219,-2.1041,5.1631
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8748,1.3785,0.1012,-2.0321,4.033
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9837,-0.2979,0.1511,-1.9903,2.7049
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9099,0.2541,0.5175,-0.6096,4.3919
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8671,0.434,0.4727,-0.4477,4.3604
