model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8908,-1.3973,4.517,0.2501,3.6028
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.2325,-1.1455,-1.502,-1.3131,1.582
CMCC-CM,['rcp45' 'rcp85'],0.9414,-1.2385,5.8049,-1.2811,5.3711
CMCC-CMS,['rcp45' 'rcp85'],0.935,-0.2629,2.6416,-0.8737,1.5728
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.8642,2.6566,4.3135,-0.3732,3.2857
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.8494,-0.1876,5.0214,1.4433,1.7667
CanESM2,['rcp26' 'rcp85'],0.8048,-0.2738,0.4034,0.0823,0.0631
EC-EARTH,['rcp45'],0.9367,-0.0224,2.989,-0.9832,1.1918
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.7713,-1.2194,6.9533,1.0789,3.1141
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.6173,-0.5298,0.8425,-0.64,2.7693
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0603,-1.3198,-0.6956,-0.4764,3.0724
HadGEM2-CC,['rcp45' 'rcp85'],0.9446,0.8238,4.6356,-0.0273,2.8489
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.9275,-0.7862,3.6429,-1.1402,3.2515
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9003,-0.0027,6.2447,-18.6078,6.4147
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8798,1.4978,5.3578,3.8621,6.6554
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.5806,-0.0203,0.9304,-1.9698,0.7659
MIROC5,['rcp45' 'rcp85'],0.9512,-1.4504,7.8863,0.0303,3.7534
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8489,2.1603,3.3865,-0.5019,3.5538
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9582,0.7468,3.7947,-0.7635,1.2169
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.8558,-0.1592,4.4818,-1.1183,3.9189
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0228,0.8618,0.7646,0.2729,0.949
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0176,1.088,0.0638,-0.0356,1.3295
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.9323,1.2632,3.4511,-0.7922,1.8685
bcc-csm1-1-m,['rcp26' 'rcp45'],0.5884,0.9661,2.3227,0.3191,1.6227
