model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8828,1.4939,-2.8164,7.2373
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.6689,1.8866,-1.5741,4.5677
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.5469,-0.833,-0.4718,1.2348
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.2393,1.1946,-0.9556,3.6899
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8287,0.2374,-1.8415,9.0545
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.8985,-0.2857,-3.9354,9.5919
CMCC-ESM2,['ssp126' 'ssp245' 'ssp585'],0.8122,-0.8166,-3.5301,20.4459
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.872,4.0793,-2.2244,5.9111
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8465,1.7926,-2.2758,7.1314
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8452,1.1515,-3.7069,8.5421
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7875,2.4298,-3.5378,11.1314
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.5354,7.7033,-3.4791,25.1934
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.8318,5.6772,-4.0414,10.8503
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0713,-0.8015,0.1784,3.8615
GFDL-CM4,['ssp585'],0.8079,-0.3471,-1.3335,2.4661
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.149,-1.6196,2.8031,4.6238
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8824,-0.4105,-2.6463,3.0075
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5456,-0.2314,-1.5902,4.022
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8514,2.1513,-2.8017,3.7891
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9294,3.8843,-5.7004,10.5123
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.9437,0.3481,-4.2664,4.6043
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8639,1.1564,-3.474,4.3842
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9758,0.0198,-3.3826,4.0352
NESM3,['ssp126' 'ssp245' 'ssp585'],0.7332,1.0457,-2.2552,2.3685
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8647,0.2317,-1.4641,6.5975
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.844,0.0483,-1.2595,5.1195
