model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8907,-1.3764,4.4747,0.1786,3.6065
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.4502,-1.0242,-2.1013,-1.5883,1.1332
CMCC-CM,['rcp45' 'rcp85'],0.9391,-1.4483,6.8107,0.0586,5.59
CMCC-CMS,['rcp45' 'rcp85'],0.9293,-0.2429,2.6476,-0.8484,1.7127
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.9469,1.209,1.1555,-2.2799,1.2842
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.8158,-0.0089,4.3375,0.6643,2.16
CanESM2,['rcp26' 'rcp85'],0.8054,-0.2749,0.4216,0.0805,0.0629
EC-EARTH,['rcp45'],0.9317,0.0125,3.1866,-0.8291,1.2868
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.7748,-1.2514,6.7903,1.0019,3.0674
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.6022,-0.4843,1.909,-0.2201,2.8787
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0186,-1.4837,-0.2977,-0.1989,3.2086
HadGEM2-CC,['rcp45' 'rcp85'],0.9446,0.8404,4.6146,-0.0387,2.8478
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.9214,-1.0276,3.7605,-0.904,3.5262
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8908,0.3269,2.9864,-3.156,7.0222
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.9342,-0.0299,0.998,-3.2884,3.6439
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.5793,0.0713,0.8734,-0.6768,0.7683
MIROC5,['rcp45' 'rcp85'],0.9513,-1.4243,8.0582,0.0658,3.7466
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8486,2.173,3.4209,-0.3538,3.5612
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9576,0.7455,3.802,-0.6559,1.2356
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.8556,-0.2522,4.3231,-1.0115,3.9254
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0011,0.9683,-0.0121,-0.0159,0.9701
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.1343,1.0836,-1.8486,-0.6706,1.1716
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.9319,1.2562,3.6251,-0.7153,1.8786
bcc-csm1-1-m,['rcp26' 'rcp45'],0.5835,1.036,2.0867,0.1172,1.642
