model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.7686,0.2805,-1.9845,7.6322
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.1764,-0.9738,-0.3517,1.6976
CMCC-CM,['rcp45' 'rcp85'],0.8652,0.772,-8.1039,12.3662
CMCC-CMS,['rcp45' 'rcp85'],0.7539,2.8241,-3.2273,5.9593
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.115,7.7061,-1.3888,21.4178
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.5697,0.5782,-1.3609,5.0466
CanESM2,['rcp26' 'rcp85'],0.678,-0.1785,-0.4015,0.1042
EC-EARTH,['rcp45' 'rcp85'],0.9178,0.0545,-2.9105,2.4622
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.303,-3.2368,-0.721,9.4915
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.6136,-0.5139,-0.9274,2.7963
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.035,-1.6841,-0.2041,3.1551
HadGEM2-CC,['rcp45' 'rcp85'],0.71,6.6415,-3.0952,14.9207
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.7482,4.4588,-3.5086,11.2964
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.1315,6.5966,32.3919,55.8587
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.0004,10.4269,2.063,55.3501
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.0913,1.2702,8.3139,1.6595
MIROC5,['rcp45' 'rcp85'],0.8487,-1.7546,-2.5877,11.6391
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.7954,2.4805,-2.6065,4.8131
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9099,1.4871,-3.0937,2.6273
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.743,0.6719,-5.997,6.9856
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0,1.0019,0.0002,0.9712
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0175,1.0939,-0.0597,1.3296
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.8957,1.2561,-2.8374,2.878
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.6512,2.0438,-1.555,2.5068
