model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.9059,1.3316,0.8102,5.8145
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.6417,1.1973,0.33,4.9421
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.9438,1.3136,1.1692,5.3115
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9573,0.39,0.8675,1.9736
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.901,-2.497,0.8427,4.5997
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7735,-0.6275,0.6104,12.5002
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.8035,0.4428,0.6247,10.2909
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9572,1.3958,0.8688,2.3192
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9189,2.0256,0.9409,5.2302
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.8699,-0.1155,1.0342,13.2841
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.837,-0.9761,0.9282,4.1698
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5096,-0.3459,0.4014,4.34
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8371,0.7293,0.5429,4.1516
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9086,2.6403,1.4437,13.6156
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8993,1.8958,1.1374,8.2384
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8382,1.7032,0.6485,5.2112
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9292,0.7448,1.3596,11.7877
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8838,0.8864,0.9597,5.6654
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8552,0.8111,0.7627,4.7504
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.8824,1.0608,1.0909,15.1542
