model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8907,0.8917,1.5748,-1.9767,6.7521
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.7919,0.3413,2.7174,0.066,2.8713
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.5665,-0.7136,0.9989,-0.0679,1.1814
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.2612,1.5328,-0.8268,-1.4568,3.5835
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8837,-0.727,2.4739,-0.9712,6.1487
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9683,0.0064,4.8738,-1.0353,3.3236
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9391,1.5079,2.2009,-1.3101,2.813
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8922,-0.1539,1.8954,-1.5563,5.0075
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8453,1.179,-0.0337,-3.7387,8.5418
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.8038,1.1209,1.526,-2.1042,10.2774
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9094,2.7435,4.764,-0.3197,4.9114
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9307,2.3862,4.068,-1.3176,4.4695
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0714,-0.818,0.0365,0.188,3.8612
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.3521,-2.9376,1.1606,2.0257,3.5199
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8897,-0.8278,1.702,-1.7871,2.82
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.6573,-0.8998,3.2319,0.389,3.0329
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8651,1.6354,0.9901,-1.98,3.439
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9297,4.018,-0.7001,-6.007,10.4725
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.947,0.3258,1.353,-3.6901,4.3333
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8641,1.16,0.2931,-3.2913,4.3783
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9835,-0.7225,2.19,-2.7899,2.7463
NESM3,['ssp126' 'ssp245' 'ssp585'],0.7721,0.3252,0.6796,-1.6643,2.0239
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9673,-0.792,5.3802,-0.4393,1.5938
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.9694,-0.4734,6.453,0.1768,1.0054
