model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.9059,1.3757,-0.1282,0.8299,5.8124
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.8374,0.117,4.9131,-0.3317,2.2433
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9637,0.6408,2.7793,0.651,3.804
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.966,0.94,-1.6834,1.1704,1.5694
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.9361,-2.1261,-3.7885,1.4613,2.9681
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7835,-1.0637,1.8379,0.3063,11.9482
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.8044,0.2948,0.5172,0.537,10.2439
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9572,1.3993,0.0245,0.8648,2.3191
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.928,1.6814,2.4696,0.5402,4.6465
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.8739,-0.7002,1.54,0.76,12.8716
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8631,-1.3349,3.7922,0.2311,3.502
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.7402,-0.9654,6.5983,-0.6886,2.2994
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8372,0.7325,0.1444,0.518,4.1492
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9087,2.6818,-0.573,1.5086,13.5941
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8993,1.9133,-0.2088,1.163,8.2356
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8431,1.5989,1.4788,0.4743,5.0526
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.93,0.4523,0.9652,1.2455,11.6582
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9592,-0.5344,5.6331,0.2368,1.9915
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.9679,-0.532,5.9764,-0.0353,1.0549
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.8835,0.7676,0.8567,0.9399,15.0068
