model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8894,-1.2923,4.0678,3.6477
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.1322,-0.7771,0.4657,1.7888
CMCC-CM,['rcp45' 'rcp85'],0.9391,-1.4346,6.7743,5.5904
CMCC-CMS,['rcp45' 'rcp85'],0.9178,-0.936,3.317,1.9891
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.8566,2.7338,4.4337,3.4714
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.783,-0.1383,2.7048,2.5455
CanESM2,['rcp26' 'rcp45' 'rcp85'],0.7708,-0.2666,0.3415,0.0636
EC-EARTH,['rcp45'],0.918,0.0741,4.5099,1.5437
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.6365,-3.2366,3.6137,4.9501
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.5999,-0.445,2.6066,2.8953
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0052,-1.5769,0.1699,3.2524
HadGEM2-CC,['rcp45' 'rcp85'],0.9446,0.7879,4.6665,2.8496
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.9003,-2.3653,4.7922,4.4733
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8698,-0.4932,5.5664,8.3744
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8782,1.1978,5.3534,6.7426
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.5766,0.0369,0.8908,0.7732
MIROC-ESM,['rcp26' 'rcp45' 'rcp85'],0.8647,-0.8106,3.9446,4.4615
MIROC-ESM-CHEM,['rcp26' 'rcp45' 'rcp85'],0.931,0.5016,4.6273,3.1228
MIROC5,['rcp26' 'rcp45' 'rcp85'],0.9408,-1.584,7.8711,3.6024
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8462,2.1995,4.1185,3.6187
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9535,0.6629,4.9315,1.3553
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.851,-0.1449,5.3173,4.05
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0009,0.9619,0.0321,0.9703
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0174,1.082,0.1561,1.3297
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.9272,1.418,4.6905,2.0089
bcc-csm1-1-m,['rcp26' 'rcp45'],0.5824,1.0665,1.968,1.6461
inmcm4,['rcp45' 'rcp85'],0.9129,-0.058,5.7367,2.4994
