model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8946,1.1901,-2.4326,6.5114
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.6408,2.2361,-1.2743,4.9548
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.5313,-0.7,-0.4496,1.2774
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.2449,1.1827,-0.879,3.6625
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.9078,0.0279,-1.4315,4.8717
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.886,0.3932,-3.3436,10.7801
CMCC-ESM2,['ssp126' 'ssp245' 'ssp585'],0.7918,-0.328,-2.9666,22.6568
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.878,4.0147,-2.1624,5.6356
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8667,1.6081,-2.1601,6.1918
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8662,0.8654,-3.2845,7.3881
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7909,2.2213,-3.3428,10.9519
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.4306,8.3146,-2.9302,30.8769
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.7703,7.1623,-3.6368,14.8187
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0521,-0.8816,0.1074,3.9415
GFDL-CM4,['ssp585'],0.9536,-0.2329,-1.0009,0.5954
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.1767,-3.0168,-0.3208,4.4733
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.849,0.2393,-2.759,3.8627
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.5071,-0.4899,-1.423,4.3624
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8503,2.3852,-2.6094,3.8164
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9609,1.3722,-4.0113,5.8303
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.9132,0.0569,-3.6652,7.0978
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8736,1.3835,-2.3862,4.071
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.983,-0.3153,-2.2219,2.8371
NESM3,['ssp126' 'ssp245' 'ssp585'],0.73,0.7343,-1.9904,2.3975
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8785,0.0257,-1.2359,5.9236
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8383,0.1743,-1.1136,5.3057
